scenario,stage,participant,period,target_mwh
Baseline,IDA1,PV_C,46,0.0
Baseline,IDA1,PV_C,47,0.0
Baseline,IDA1,PV_C,48,0.0
Baseline,IDA1,PV_A,1,0.0
Baseline,IDA1,PV_A,2,0.0
Baseline,IDA1,PV_A,3,0.0
Baseline,IDA1,PV_A,4,0.0
Baseline,IDA1,PV_A,5,0.0
Baseline,IDA1,PV_A,6,0.0
Baseline,IDA1,PV_A,7,0.0
Baseline,IDA1,PV_A,8,0.0
Baseline,IDA1,PV_A,9,0.0
Baseline,IDA1,PV_A,10,0.0
Baseline,IDA1,PV_A,11,0.0
Baseline,IDA1,PV_A,12,0.0
Baseline,IDA1,PV_A,13,5.99e-05
Baseline,IDA1,PV_A,14,5.99e-05
Baseline,IDA1,PV_A,15,3.6671179
Baseline,IDA1,PV_A,16,3.6671179
Baseline,IDA1,PV_A,17,20.081279899999995
Baseline,IDA1,PV_A,18,20.081279899999995
Baseline,IDA1,PV_A,19,38.907184
Baseline,IDA1,PV_A,20,38.907184
Baseline,IDA1,PV_A,21,48.06264
Baseline,IDA1,PV_A,22,48.06264
Baseline,IDA1,PV_A,23,50.6516765
Baseline,IDA1,PV_A,24,50.6516765
Baseline,IDA1,PV_A,25,48.8441127
Baseline,IDA1,PV_A,26,48.8441127
Baseline,IDA1,PV_A,27,41.2026067
Baseline,IDA1,PV_A,28,41.2026067
Baseline,IDA1,PV_A,29,28.6237527
Baseline,IDA1,PV_A,30,28.6237527
Baseline,IDA1,PV_A,31,14.1360495
Baseline,IDA1,PV_A,32,14.1360495
Baseline,IDA1,PV_A,33,3.2308899
Baseline,IDA1,PV_A,34,3.2308899
Baseline,IDA1,PV_A,35,0.0
Baseline,IDA1,PV_A,36,0.0
Baseline,IDA1,PV_A,37,0.0
Baseline,IDA1,PV_A,38,0.0
Baseline,IDA1,PV_A,39,0.0
Baseline,IDA1,PV_A,40,0.0
Baseline,IDA1,PV_A,41,0.0
Baseline,IDA1,PV_A,42,0.0
Baseline,IDA1,PV_A,43,0.0
Baseline,IDA1,PV_A,44,0.0
Baseline,IDA1,PV_A,45,0.0
Baseline,IDA1,PV_A,46,0.0
Baseline,IDA1,PV_A,47,0.0
Baseline,IDA1,PV_A,48,0.0
Baseline,IDA1,W_C,1,9.147912995
Baseline,IDA1,W_C,2,9.147912995
Baseline,IDA1,W_C,3,10.95410768
Baseline,IDA1,W_C,4,10.95410768
Baseline,IDA1,W_C,5,11.200722729999999
Baseline,IDA1,W_C,6,11.200722729999999
Baseline,IDA1,W_C,7,10.0348008925
Baseline,IDA1,W_C,8,10.0348008925
Baseline,IDA1,W_C,9,9.6423008925
Baseline,IDA1,W_C,10,9.6423008925
Baseline,IDA1,W_C,11,9.04834069
Baseline,IDA1,W_C,12,9.04834069
Baseline,IDA1,W_C,13,8.107035415
Baseline,IDA1,W_C,14,8.107035415
Baseline,IDA1,W_C,15,6.6597640025
Baseline,IDA1,W_C,16,6.6597640025
Baseline,IDA1,W_C,17,5.5135250575
