scenario,participant,stage,buy_mwh,sell_mwh,purchase_eur,sales_eur,net_cash_eur,buy_vwap,sell_vwap,final_target_mwh,final_gap_mwh
No revision,VAS_ST_H,IDA1,1.044665815e-05,0,0.001360572757456,0,-0.001360572757456,,,,
No revision,VAS_ST_H,IDA2,0,0,0,0,0,,,,
No revision,VAS_ST_H,IDA3,0,0,0,0,0,,,,
No revision,VAS_CCGT_D,ALL,2.5121726411e-05,1608.93707144,0.0039232600136058695,251267.7024467848,251267.69852352477,,156.17,,
No revision,VAS_CCGT_D,FM,0,0,0,0,0,,,,
No revision,VAS_CCGT_D,DAM,0,1608.93707144,0,251267.7024467848,251267.7024467848,,156.17,,
No revision,VAS_CCGT_D,IDA1,2.5121726411e-05,0,0.0039232600136058695,0,-0.0039232600136058695,,,,
No revision,VAS_CCGT_D,IDA2,0,0,0,0,0,,,,
No revision,VAS_CCGT_D,IDA3,0,0,0,0,0,,,,
No revision,DKL_ST_H,ALL,0,0,0,0,0,,,,
No revision,DKL_ST_H,FM,0,0,0,0,0,,,,
No revision,DKL_ST_H,DAM,0,0,0,0,0,,,,
No revision,DKL_ST_H,IDA1,0,0,0,0,0,,,,
No revision,DKL_ST_H,IDA2,0,0,0,0,0,,,,
No revision,DKL_ST_H,IDA3,0,0,0,0,0,,,,
No revision,VAS_GT_D,ALL,0,0,0,0,0,,,,
No revision,VAS_GT_D,FM,0,0,0,0,0,,,,
No revision,VAS_GT_D,DAM,0,0,0,0,0,,,,
No revision,VAS_GT_D,IDA1,0,0,0,0,0,,,,
No revision,VAS_GT_D,IDA2,0,0,0,0,0,,,,
No revision,VAS_GT_D,IDA3,0,0,0,0,0,,,,
No revision,IND,ALL,3572.5079601663133,5.12480008e-06,513451.50714448065,0.00075895718236141,-513451.5063855235,143.72298476854272,,3572.5079573999997,2.729085508690332e-06
No revision,IND,FM,27.954336260999998,0,2795.4336261,0,-2795.4336261,100.0,,3572.5079573999997,2.729085508690332e-06
No revision,IND,DAM,3544.55362,0,510656.07296362,0,-510656.07296362,144.06780873119362,,3572.5079573999997,2.729085508690332e-06
No revision,IND,IDA1,3.9053133488e-06,5.12480008e-06,0.0005547606841693432,0.00075895718236141,0.00020419649819206683,,,3572.5079573999997,2.729085508690332e-06
No revision,IND,IDA2,0,0,0,0,0,,,3572.5079573999997,2.729085508690332e-06
No revision,IND,IDA3,0,0,0,0,0,,,3572.5079573999997,2.729085508690332e-06
No revision,COM,ALL,3131.366215302921,4.94843071e-06,432120.2887763431,0.00071944747012105,-432120.28805689566,137.99736570720484,,3131.3662124356174,2.473587258577936e-06
No revision,COM,FM,416.89689372,0,35436.235966199994,0,-35436.235966199994,84.99999999999999,,3131.3662124356174,2.473587258577936e-06
No revision,COM,DAM,2714.469318,0,396684.052274,0,-396684.052274,146.13687089536668,,3131.3662124356174,2.473587258577936e-06
No revision,COM,IDA1,3.58292077e-06,4.94843071e-06,0.00053614312503836,0.00071944747012105,0.00018330434508268998,,,3131.3662124356174,2.473587258577936e-06
No revision,COM,IDA2,0,0,0,0,0,,,3131.3662124356174,2.473587258577936e-06
No revision,COM,IDA3,0,0,0,0,0,,,3131.3662124356174,2.473587258577936e-06
No revision,RES,ALL,5204.4856940601485,3.133561445e-05,779618.9525534409,0.00471964152149126,-779618.9478337994,149.7975013060783,,5204.485688164384,2.553822639939085e-05
No revision,RES,FM,74.1418716635,0,6742.6542903675,0,-6742.6542903675,90.94259612125364,,5204.485688164384,2.553822639939085e-05
No revision,RES,DAM,5130.34382,0,772876.2979003399,0,-772876.2979003399,150.64805108916462,,5204.485688164384,2.553822639939085e-05
No revision,RES,IDA1,2.3966482804e-06,3.133561445e-05,0.0003627334841604756,0.00471964152149126,0.004356908037330785,,,5204.485688164384,2.553822639939085e-05
No revision,RES,IDA2,0,0,0,0,0,,,5204.485688164384,2.553822639939085e-05
No revision,RES,IDA3,0,0,0,0,0,,,5204.485688164384,2.553822639939085e-05
No revision,PV_C,ALL,3.8e-07,694.82815638,5.196576000000001e-05,68838.4366613165,68838.43660935074,,99.07260670028016,694.8281562,2.400000322921869e-07
No revision,PV_C,FM,0,486.37970934,0,41689.689372,41689.689372,,85.71428571428572,694.8281562,2.400000322921869e-07
No revision,PV_C,DAM,0,208.44844494,0,27148.7470051018,27148.7470051018,,130.2420222559891,694.8281562,2.400000322921869e-07
No revision,PV_C,IDA1,3.8e-07,2.1000000000000002e-06,5.196576000000001e-05,0.0002842147,0.00023224894,,,694.8281562,2.400000322921869e-07
No revision,PV_C,IDA2,0,0,0,0,0,,,694.8281562,2.400000322921869e-07
No revision,PV_C,IDA3,0,0,0,0,0,,,694.8281562,2.400000322921869e-07
No revision,PV_A,ALL,1.1e-06,694.8281578,0.0001456892,90495.82439045601,90495.8242447668,,130.24202225337046,694.8281562,5.000000165011897e-07
