scenario,contract,seller,buyer,period,quantity_mwh,price_eur_mwh
High RES,PV_COM,PV_C,COM,11,0.0,85.0
High RES,PV_COM,PV_C,COM,12,0.0,85.0
High RES,PV_COM,PV_C,COM,13,3.594e-05,85.0
High RES,PV_COM,PV_C,COM,14,3.594e-05,85.0
High RES,PV_COM,PV_C,COM,15,2.7334115999999997,85.0
High RES,PV_COM,PV_C,COM,16,2.7334115999999997,85.0
High RES,PV_COM,PV_C,COM,17,13.25750808,85.0
High RES,PV_COM,PV_C,COM,18,13.25750808,85.0
High RES,PV_COM,PV_C,COM,19,24.790708799999997,85.0
High RES,PV_COM,PV_C,COM,20,24.790708799999997,85.0
High RES,PV_COM,PV_C,COM,21,30.83372664,85.0
High RES,PV_COM,PV_C,COM,22,30.83372664,85.0
High RES,PV_COM,PV_C,COM,23,33.20405622,85.0
High RES,PV_COM,PV_C,COM,24,33.20405622,85.0
High RES,PV_COM,PV_C,COM,25,32.802520439999995,85.0
High RES,PV_COM,PV_C,COM,26,32.802520439999995,85.0
High RES,PV_COM,PV_C,COM,27,29.991842039999998,85.0
High RES,PV_COM,PV_C,COM,28,29.991842039999998,85.0
High RES,PV_COM,PV_C,COM,29,23.70322362,85.0
High RES,PV_COM,PV_C,COM,30,23.70322362,85.0
High RES,PV_COM,PV_C,COM,31,13.5228027,85.0
High RES,PV_COM,PV_C,COM,32,13.5228027,85.0
High RES,PV_COM,PV_C,COM,33,3.6086107800000002,85.0
High RES,PV_COM,PV_C,COM,34,3.6086107800000002,85.0
High RES,PV_COM,PV_C,COM,35,0.0,85.0
High RES,PV_COM,PV_C,COM,36,0.0,85.0
High RES,PV_COM,PV_C,COM,37,0.0,85.0
High RES,PV_COM,PV_C,COM,38,0.0,85.0
High RES,PV_COM,PV_C,COM,39,0.0,85.0
High RES,PV_COM,PV_C,COM,40,0.0,85.0
High RES,PV_COM,PV_C,COM,41,0.0,85.0
High RES,PV_COM,PV_C,COM,42,0.0,85.0
High RES,PV_COM,PV_C,COM,43,0.0,85.0
High RES,PV_COM,PV_C,COM,44,0.0,85.0
High RES,PV_COM,PV_C,COM,45,0.0,85.0
High RES,PV_COM,PV_C,COM,46,0.0,85.0
High RES,PV_COM,PV_C,COM,47,0.0,85.0
High RES,PV_COM,PV_C,COM,48,0.0,85.0
High RES,PV_RESI,PV_C,RESI,1,0.0,90.0
High RES,PV_RESI,PV_C,RESI,2,0.0,90.0
High RES,PV_RESI,PV_C,RESI,3,0.0,90.0
High RES,PV_RESI,PV_C,RESI,4,0.0,90.0
High RES,PV_RESI,PV_C,RESI,5,0.0,90.0
High RES,PV_RESI,PV_C,RESI,6,0.0,90.0
High RES,PV_RESI,PV_C,RESI,7,0.0,90.0
